username,original_link,tweet_id,retweets,impressions,day,link,date,stance,notes
aaronsibarium,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,1622621811799121920,6902,1020644,2023-02-06 15:42:41+00:00,https://twitter.com/aaronsibarium/status/1622621811799121920,2023-02-06,misleading,
trishgreenhalgh,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622673877150187520,345,214079,2023-02-06 19:09:34+00:00,https://twitter.com/trishgreenhalgh/status/1622673877150187520,2023-02-06,nuanced_accurate,
Globalbiosec,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622798343192862721,250,30521,2023-02-07 03:24:09+00:00,https://twitter.com/Globalbiosec/status/1622798343192862721,2023-02-07,nuanced_accurate,
RandPaul,https://freebeacon.com/coronavirus/this-study-could-be-scientific-nail-in-the-coffin-for-masks/,1623050330517766144,1466,250368,2023-02-07 20:05:28+00:00,https://twitter.com/RandPaul/status/1623050330517766144,2023-02-07,misleading,
ToshiAkima,https://theconversation.com/yes-masks-reduce-the-risk-of-spreading-covid-despite-a-review-saying-they-dont-198992,1622827992845266944,452,306108,2023-02-07 05:21:58+00:00,https://twitter.com/ToshiAkima/status/1622827992845266944,2023-02-07,nuanced_accurate,
healthbyjames,https://reason.com/2023/02/07/masks-covid-dont-work-cochrane-library-review-mandate/,1623017549213405188,1370,71688,2023-02-07 17:55:12+00:00,https://twitter.com/healthbyjames/status/1623017549213405188,2023-02-07,misleading,
naika_hashikure,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1622979360209920001,343,67504,2023-02-07 15:23:27+00:00,https://twitter.com/naika_hashikure/status/1622979360209920001,2023-02-07,misleading,
robbysoave,https://reason.com/2023/02/07/masks-covid-dont-work-cochrane-library-review-mandate/,1623085018598805506,393,60366,2023-02-07 22:23:18+00:00,https://twitter.com/robbysoave/status/1623085018598805506,2023-02-07,misleading,
thackerpd,,1623037014861053953,502,100941,2023-02-07 19:12:33+00:00,https://twitter.com/thackerpd/status/1623037014861053953,2023-02-07,misleading,
JenniferSey,,1624139246402474018,2805,388403,2023-02-10 20:12:26+00:00,https://twitter.com/JenniferSey/status/1624139246402474018,2023-02-10,misleading,
MichaelPSenger,https://chicago.suntimes.com/columnists/2023/2/8/23591132/cdc-exaggerated-evidence-supporting-mask-mandates-column-jacob-sullum,1624082006635339777,361,42940,2023-02-10 16:24:59+00:00,https://twitter.com/MichaelPSenger/status/1624082006635339777,2023-02-10,misleading,
RandPaul,https://reason.com/2023/02/08/a-scientific-review-shows-the-cdc-grossly-exaggerated-the-evidence-supporting-mask-mandates/,1623872271776358402,1525,237941,2023-02-10 02:31:34+00:00,https://twitter.com/RandPaul/status/1623872271776358402,2023-02-10,misleading,
guypbenson,https://chicago.suntimes.com/columnists/2023/2/8/23591132/cdc-exaggerated-evidence-supporting-mask-mandates-column-jacob-sullum,1624061935900672002,530,261443,2023-02-10 15:05:13+00:00,https://twitter.com/guypbenson/status/1624061935900672002,2023-02-10,misleading,
tatiann69922625,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1623989316719370242,285,15510,2023-02-10 10:16:40+00:00,https://twitter.com/tatiann69922625/status/1623989316719370242,2023-02-10,misleading,
MichaelPSenger,,1624223551120375809,1597,365819,2023-02-11 01:47:25+00:00,https://twitter.com/MichaelPSenger/status/1624223551120375809,2023-02-11,misleading,
TiceRichard,,1624531944917848064,595,112063,2023-02-11 22:12:52+00:00,https://twitter.com/TiceRichard/status/1624531944917848064,2023-02-11,misleading,
TRyanGregory,https://www.tvo.org/article/once-and-for-all-masks-reduce-the-risk-of-spreading-covid,1624750842166362115,406,49688,2023-02-12 12:42:41+00:00,https://twitter.com/TRyanGregory/status/1624750842166362115,2023-02-12,misleading,
jhmdrei,,1624558909850816512,653,49174,2023-02-12 00:00:01+00:00,https://twitter.com/jhmdrei/status/1624558909850816512,2023-02-12,misleading,
IngrahamAngle,https://chicago.suntimes.com/columnists/2023/2/8/23591132/cdc-exaggerated-evidence-supporting-mask-mandates-column-jacob-sullum,1625006721251872768,499,104279,2023-02-13 05:39:28+00:00,https://twitter.com/IngrahamAngle/status/1625006721251872768,2023-02-13,misleading,
MichaelPSenger,https://slate.com/technology/2023/02/masks-effectiveness-cochrane-review.html,1625271126493646848,250,62916,2023-02-13 23:10:07+00:00,https://twitter.com/MichaelPSenger/status/1625271126493646848,2023-02-13,misleading,
MonicaGandhi9,,1625152019425300480,222,183151,2023-02-13 15:16:49+00:00,https://twitter.com/MonicaGandhi9/status/1625152019425300480,2023-02-13,neutral,???
FoxNews,https://www.foxnews.com/health/face-masks-difference-spread-covid-scientific-review,1625329008895197187,2316,850262,2023-02-14 03:00:07+00:00,https://twitter.com/FoxNews/status/1625329008895197187,2023-02-14,misleading,
MichaelPSenger,https://nypost.com/2023/02/14/face-masks-made-little-to-no-difference-in-preventing-covid-study/,1625556344635002881,296,39201,2023-02-14 18:03:28+00:00,https://twitter.com/MichaelPSenger/status/1625556344635002881,2023-02-14,misleading,
catturd2,https://www.foxnews.com/health/face-masks-difference-spread-covid-scientific-review,1625461123490217984,2423,249430,2023-02-14 11:45:06+00:00,https://twitter.com/catturd2/status/1625461123490217984,2023-02-14,misleading,
nypost,https://nypost.com/2023/02/14/face-masks-made-little-to-no-difference-in-preventing-covid-study/,1625525537471864834,263,171209,2023-02-14 16:01:03+00:00,https://twitter.com/nypost/status/1625525537471864834,2023-02-14,misleading,
seanhannity,https://hannity.com/media-room/following-the-science-new-study-finds-face-masks-made-little-to-no-difference/,1625551815222693900,353,92289,2023-02-14 17:45:28+00:00,https://twitter.com/seanhannity/status/1625551815222693900,2023-02-14,misleading,
DrEliDavid,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD006207.pub6/full,1625918127648243714,1437,221436,2023-02-15 18:01:04+00:00,https://twitter.com/DrEliDavid/status/1625918127648243714,2023-02-15,misleading,
MichaelPSenger,,1626011959975104512,239,42533,2023-02-16 00:13:55+00:00,https://twitter.com/MichaelPSenger/status/1626011959975104512,2023-02-16,misleading,
DrSuneelDhand,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(22)02465-5/fulltext,1626541219491749891,563,45326,2023-02-17 11:17:01+00:00,https://twitter.com/DrSuneelDhand/status/1626541219491749891,2023-02-17,nuanced_accurate,
Globalbiosec,,1627091355657990146,219,46376,2023-02-18 23:43:03+00:00,https://twitter.com/Globalbiosec/status/1627091355657990146,2023-02-18,nuanced_accurate,
kevinnbass,,1626944235680464897,666,187844,2023-02-18 13:58:27+00:00,https://twitter.com/kevinnbass/status/1626944235680464897,2023-02-18,misleading,
nbreavington,,1626978936906305537,204,9431,2023-02-18 16:16:21+00:00,https://twitter.com/nbreavington/status/1626978936906305537,2023-02-18,misleading,
ToshiAkima,,1627184313593909248,404,230437,2023-02-19 05:52:26+00:00,https://twitter.com/ToshiAkima/status/1627184313593909248,2023-02-19,nuanced_accurate,
MartinKulldorff,https://www.city-journal.org/new-cochrane-study-on-masks-and-covid,1627669651931947009,508,96091,2023-02-20 14:01:00+00:00,https://twitter.com/MartinKulldorff/status/1627669651931947009,2023-02-20,misleading,
nbreavington,,1627698839799865347,232,9328,2023-02-20 15:56:59+00:00,https://twitter.com/nbreavington/status/1627698839799865347,2023-02-20,misleading,
Jikkyleaks,,1627851786144071680,193,25102,2023-02-21 02:04:44+00:00,https://twitter.com/Jikkyleaks/status/1627851786144071680,2023-02-21,misleading,
dagenmcdowell,https://www.dailymail.co.uk/health/article-11702865/Masks-make-little-no-difference-Covid-infections-massive-cross-country-meta-analysis-finds.html,1628049785486729216,215,85190,2023-02-21 15:11:31+00:00,https://twitter.com/dagenmcdowell/status/1628049785486729216,2023-02-21,misleading,
AaronSiriSG,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628403978143731712,307,37718,2023-02-22 14:38:57+00:00,https://twitter.com/AaronSiriSG/status/1628403978143731712,2023-02-22,misleading,
BuckSexton,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628245279622238209,780,202024,2023-02-22 04:08:20+00:00,https://twitter.com/BuckSexton/status/1628245279622238209,2023-02-22,misleading,
CaulfieldTim,,1628422163199057921,197,193182,2023-02-22 15:51:12+00:00,https://twitter.com/CaulfieldTim/status/1628422163199057921,2023-02-22,nuanced_accurate,
ClayTravis,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628240475143520257,210,153562,2023-02-22 03:49:15+00:00,https://twitter.com/ClayTravis/status/1628240475143520257,2023-02-22,misleading,
JamesMelville,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628538111331299329,190,48273,2023-02-22 23:31:57+00:00,https://twitter.com/JamesMelville/status/1628538111331299329,2023-02-22,misleading,
JoshWalkos,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628214511248281602,271,43946,2023-02-22 02:06:04+00:00,https://twitter.com/JoshWalkos/status/1628214511248281602,2023-02-22,misleading,
KendraWrites,,1628441152964771840,191,119077,2023-02-22 17:06:40+00:00,https://twitter.com/KendraWrites/status/1628441152964771840,2023-02-22,misleading,
KevinBardosh,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628194485984444417,320,175638,2023-02-22 00:46:30+00:00,https://twitter.com/KevinBardosh/status/1628194485984444417,2023-02-22,misleading,
KevinKileyCA,,1628191337110736896,345,30013,2023-02-22 00:33:59+00:00,https://twitter.com/KevinKileyCA/status/1628191337110736896,2023-02-22,misleading,
MichaelPSenger,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628243406253355013,305,60451,2023-02-22 04:00:54+00:00,https://twitter.com/MichaelPSenger/status/1628243406253355013,2023-02-22,misleading,
RandPaul,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628482055301484547,9816,1734477,2023-02-22 19:49:12+00:00,https://twitter.com/RandPaul/status/1628482055301484547,2023-02-22,misleading,
RobertKennedyJr,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628403138750193667,6387,599335,2023-02-22 14:35:37+00:00,https://twitter.com/RobertKennedyJr/status/1628403138750193667,2023-02-22,misleading,
davidzweig,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628265610839818240,471,385328,2023-02-22 05:29:07+00:00,https://twitter.com/davidzweig/status/1628265610839818240,2023-02-22,misleading,
drlucymcbride,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628205731433402371,304,260834,2023-02-22 01:31:11+00:00,https://twitter.com/drlucymcbride/status/1628205731433402371,2023-02-22,misleading,
freddiesayers,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628341440496431104,230,191381,2023-02-22 10:30:27+00:00,https://twitter.com/freddiesayers/status/1628341440496431104,2023-02-22,misleading,
holmenkollin,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628360104331423744,404,35231,2023-02-22 11:44:36+00:00,https://twitter.com/holmenkollin/status/1628360104331423744,2023-02-22,misleading,
leandroruschel,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628409539761430528,308,47533,2023-02-22 15:01:03+00:00,https://twitter.com/leandroruschel/status/1628409539761430528,2023-02-22,misleading,
patrickbetdavid,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628422650904158210,190,130057,2023-02-22 15:53:09+00:00,https://twitter.com/patrickbetdavid/status/1628422650904158210,2023-02-22,misleading,
realmichaelseif,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628252182020751362,515,112154,2023-02-22 04:35:46+00:00,https://twitter.com/realmichaelseif/status/1628252182020751362,2023-02-22,misleading,
robbystarbuck,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628414781693562882,217,30515,2023-02-22 15:21:53+00:00,https://twitter.com/robbystarbuck/status/1628414781693562882,2023-02-22,misleading,
rupasubramanya,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628212688848400385,237,23624,2023-02-22 01:58:50+00:00,https://twitter.com/rupasubramanya/status/1628212688848400385,2023-02-22,misleading,
ABridgen,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628620395753443328,448,76507,2023-02-23 04:58:55+00:00,https://twitter.com/ABridgen/status/1628620395753443328,2023-02-23,misleading,
FLMIRONES,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628681261253361664,274,11217,2023-02-23 09:00:46+00:00,https://twitter.com/FLMIRONES/status/1628681261253361664,2023-02-23,misleading,
MaximeBernier,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628758764345036800,465,34562,2023-02-23 14:08:44+00:00,https://twitter.com/MaximeBernier/status/1628758764345036800,2023-02-23,misleading,
YasinAslanTrk1,https://www.nytimes.com/2023/02/21/opinion/do-mask-mandates-work.html,1628673739704438786,400,59784,2023-02-23 08:30:53+00:00,https://twitter.com/YasinAslanTrk1/status/1628673739704438786,2023-02-23,misleading,
gregggonsalves,https://www.buzzfeednews.com/article/katiecamero/do-face-mask-mandates-work-covid,1628896082771025922,218,53008,2023-02-23 23:14:24+00:00,https://twitter.com/gregggonsalves/status/1628896082771025922,2023-02-23,misleading,
MichaelPSenger,,1629194849986711552,296,139764,2023-02-24 19:01:35+00:00,https://twitter.com/MichaelPSenger/status/1629194849986711552,2023-02-24,misleading,
MeetJess,https://www.theguardian.com/commentisfree/2023/feb/27/dont-believe-those-who-claim-science-proves-masks-dont-work,1630251572314755073,937,73972,2023-02-27 17:00:38+00:00,https://twitter.com/MeetJess/status/1630251572314755073,2023-02-27,nuanced_accurate,
dobssi,,1630151099012247552,371,114988,2023-02-27 10:21:23+00:00,https://twitter.com/dobssi/status/1630151099012247552,2023-02-27,misleading,
luckytran,https://www.theguardian.com/commentisfree/2023/feb/27/dont-believe-those-who-claim-science-proves-masks-dont-work,1630267280138403852,1232,210880,2023-02-27 18:03:03+00:00,https://twitter.com/luckytran/status/1630267280138403852,2023-02-27,nuanced_accurate,
Kit_Yates_Maths,https://www.theguardian.com/commentisfree/2023/feb/27/dont-believe-those-who-claim-science-proves-masks-dont-work,1630489626132594689,253,37812,2023-02-28 08:46:34+00:00,https://twitter.com/Kit_Yates_Maths/status/1630489626132594689,2023-02-28,nuanced_accurate,
rosenbusch_,https://www.cicero.de/kultur/corona-christian-drosten-ethikrat-wissenschaft-lutge-teil-3,1630482491709505537,235,15058,2023-02-28 08:18:13+00:00,https://twitter.com/rosenbusch_/status/1630482491709505537,2023-02-28,misleading,
MaximeBernier,https://nationalpost.com/opinion/community-masking-was-never-going-to-work-against-covid,1631289690060980224,234,20607,2023-03-02 13:45:44+00:00,https://twitter.com/MaximeBernier/status/1631289690060980224,2023-03-02,misleading,
MichaelPSenger,https://www.telegraph.co.uk/news/2023/03/01/untruth-untruth-peddled-justify-great-lockdown-disaster/,1631354391797313536,296,36035,2023-03-02 18:02:50+00:00,https://twitter.com/MichaelPSenger/status/1631354391797313536,2023-03-02,misleading,
dockaurG,https://www.telegraph.co.uk/news/2023/03/01/untruth-untruth-peddled-justify-great-lockdown-disaster/,1631277603674890240,470,172682,2023-03-02 12:57:43+00:00,https://twitter.com/dockaurG/status/1631277603674890240,2023-03-02,misleading,
drmetinokucu,https://pubmed.ncbi.nlm.nih.gov/36715243/,1631602110696509441,227,57057,2023-03-03 10:27:11+00:00,https://twitter.com/drmetinokucu/status/1631602110696509441,2023-03-03,misleading,
1goodtern,https://www.washingtonpost.com/opinions/2023/03/03/face-masks-work-study/,1632073709178454016,192,34685,2023-03-04 17:41:09+00:00,https://twitter.com/1goodtern/status/1632073709178454016,2023-03-04,nuanced_accurate,
MartinKulldorff,https://thehill.com/opinion/healthcare/3882707-america-desperately-needs-a-bipartisan-pandemic-post-mortem/,1631846794698145792,210,73352,2023-03-04 02:39:28+00:00,https://twitter.com/MartinKulldorff/status/1631846794698145792,2023-03-04,misleading,
